ano,sigla_uf,rede,ensino,ano_escolar,taxa_aprovacao
2005,GO,publica,fundamental,2,79
2005,GO,publica,fundamental,3,83
2005,GO,publica,fundamental,4,86.4
2005,GO,publica,fundamental,5,87.7
2005,GO,publica,fundamental,6,63.5
2005,GO,publica,fundamental,7,69.9
2005,GO,publica,fundamental,8,73
2005,GO,publica,fundamental,9,70.9
2005,GO,total,fundamental,1,92.1
2005,GO,total,fundamental,2,81.5
2005,GO,total,fundamental,3,85
2005,GO,total,fundamental,4,87.9
2005,GO,total,fundamental,5,89.1
2005,GO,total,fundamental,6,78.3
2005,GO,total,fundamental,7,79.1
2005,GO,total,fundamental,8,80.1
2005,GO,total,fundamental,9,80.3
2005,GO,total,medio,1,69.1
2005,GO,total,medio,2,78.3
2005,GO,total,medio,3,84.3
2005,GO,total,medio,4,76.5
2005,MA,estadual,fundamental,1,
2005,MA,estadual,fundamental,2,68.5
2005,MA,estadual,fundamental,3,77.6
2005,MA,estadual,fundamental,4,83
2005,MA,estadual,fundamental,5,86.1
2005,MA,estadual,fundamental,6,76.2
2005,MA,estadual,fundamental,7,79.5
2005,MA,estadual,fundamental,8,80.7
2005,MA,estadual,fundamental,9,84.6
2005,MA,estadual,medio,1,63.9
2005,MA,estadual,medio,2,72.2
2005,MA,estadual,medio,3,82.4
2005,MA,estadual,medio,4,86.5
2005,MA,privada,fundamental,1,89.3
2005,MA,privada,fundamental,2,95.1
2005,MA,privada,fundamental,3,96.1
2005,MA,privada,fundamental,4,95.5
2005,MA,privada,fundamental,5,96.1
2005,MA,privada,fundamental,6,93.7
2005,MA,privada,fundamental,7,93.4
2005,MA,privada,fundamental,8,93.8
2005,MA,privada,fundamental,9,94.4
2005,MA,privada,medio,1,89.2
2005,MA,privada,medio,2,91.2
2005,MA,privada,medio,3,94.4
2005,MA,privada,medio,4,92.1
2005,MA,publica,fundamental,1,83.3
2005,MA,publica,fundamental,2,71.2
2005,MA,publica,fundamental,3,74.4
2005,MA,publica,fundamental,4,76.3
2005,MA,publica,fundamental,5,79.3
2005,MA,publica,fundamental,6,69.5
2005,MA,publica,fundamental,7,73.8
2005,MA,publica,fundamental,8,76.4
2005,MA,publica,fundamental,9,81.8
2005,MA,total,fundamental,1,83.3
2005,MA,total,fundamental,2,72.7
2005,MA,total,fundamental,3,75.8
2005,MA,total,fundamental,4,77.5
2005,MA,total,fundamental,5,80.4
2005,MA,total,fundamental,6,70.7
2005,MA,total,fundamental,7,74.9
2005,MA,total,fundamental,8,77.4
2005,MA,total,fundamental,9,82.8
2005,MA,total,medio,1,66.1
2005,MA,total,medio,2,74.3
2005,MA,total,medio,3,84.1
2005,MA,total,medio,4,92.1
2005,MG,estadual,fundamental,1,96.8
2005,MG,estadual,fundamental,2,94.3
2005,MG,estadual,fundamental,3,87.3
2005,MG,estadual,fundamental,4,95.5
2005,MG,estadual,fundamental,5,87.2
2005,MG,estadual,fundamental,6,75.7
2005,MG,estadual,fundamental,7,76.3
2005,MG,estadual,fundamental,8,77.7
2005,MG,estadual,fundamental,9,70.8
2005,MG,estadual,medio,1,64.1
2005,MG,estadual,medio,2,73.7
2005,MG,estadual,medio,3,78.4
2005,MG,estadual,medio,4,95.3
2005,MG,privada,fundamental,1,98.9
2005,MG,privada,fundamental,2,98.3
2005,MG,privada,fundamental,3,98.6
2005,MG,privada,fundamental,4,98.6
2005,MG,privada,fundamental,5,98.2
2005,MG,privada,fundamental,6,95.2
2005,MG,privada,fundamental,7,94.5
2005,MG,privada,fundamental,8,94.3
